model,log_loss,rps,brier,ece,accuracy
ensemble,0.9417942382990642,0.18465450320196802,0.5569118245419503,0.06396376892649851,0.5632891618185736
logit,0.943102873626448,0.18562394355103978,0.5580372434508103,0.0577953524978666,0.5574822236586943
xgboost,0.9475376188755036,0.18658749312162398,0.5615273475646972,0.07495834959583791,0.5598621660202541
elo_logit,0.948872448976388,0.18722233202895622,0.562113954995929,0.07128870645268096,0.5504356550312434
dixon_coles,0.9492302886745485,0.18622187742789933,0.5623392770052476,0.07564625767780084,0.557406808877397
random_forest,0.9524513898530925,0.18835866597828171,0.5642130373119544,0.0862564100429885,0.5481520011850894
